state	year	mrall	beertax	mlda	jaild	comserd	vmiles	unrate	perinc
1	1982	2.128360065	1.539379478	19	no	no	7.233887207	14.39999962	10544.15234
1	1983	2.348480048	1.788990736	19	no	no	7.836347656	13.69999981	10732.79785
1	1984	2.336430043	1.714285612	19	no	no	8.262990234	11.10000038	11108.79102
1	1985	2.193480032	1.652542353	19.67000008	no	no	8.726916992	8.899999619	11332.62695
1	1986	2.66913994	1.609907031	21	no	no	8.952853516	9.800000191	11661.50684
1	1987	2.718589967	1.559999943	21	no	no	9.166301758	7.800000191	11944
1	1988	2.493910142	1.501443624	21	no	no	9.674323242	7.199999809	12368.62402
4	1982	2.499140101	0.214797139	19	yes	yes	6.810156738	9.899999619	12309.06934
4	1983	2.267380041	0.206422031	19	yes	yes	6.587494629	9.100000381	12693.80762
4	1984	2.82877998	0.296703309	19	yes	yes	6.709970215	5	13265.93359
4	1985	2.802009985	0.381355941	21	yes	yes	6.771262695	6.5	13726.69531
4	1986	3.071060055	0.371517032	21	yes	yes	8.129007813	6.900000095	14107.32715
4	1987	2.767280093	0.360000014	21	yes	yes	9.370654297	6.199999809	14241
4	1988	2.705650113	0.346487015	21	yes	yes	9.815720703	6.300000191	14408.08496
5	1982	2.384050022	0.650358021	21	no	no	7.208500488	9.800000191	10267.30273
5	1983	2.395699994	0.675458729	21	no	no	7.175916992	10.10000038	10433.48633
5	1984	2.237849985	0.598901093	21	no	no	7.084819824	8.899999619	10916.4834
5	1985	2.263670031	0.57733053	21	no	no	7.253917969	8.699999809	11149.36426
5	1986	2.543230075	0.562435508	21	no	no	7.468999023	8.699999809	11399.38086
5	1987	2.675880096	0.545000017	21	no	no	7.665830566	8.100000381	11537
5	1988	2.546969918	0.524542868	21	no	no	8.024625488	7.699999809	11760.34668
6	1982	1.861939963	0.10739857	21	no	no	6.858676758	9.899999619	15797.13574
6	1983	1.806719956	0.103211015	21	no	no	7.216291504	9.699999809	15970.18359
6	1984	1.946109987	0.0989011	21	no	no	7.619175781	7.800000191	16590.10938
6	1985	1.881280041	0.095338985	21	no	no	7.874066895	7.199999809	16985.16992
6	1986	1.945480035	0.092879258	21	no	no	8.034910156	6.699999809	17356.03711
6	1987	1.989659941	0.090000004	21	no	no	8.180633301	5.800000191	17846
6	1988	1.903649973	0.086621754	21	no	no	8.531990234	5.300000191	18049.08594
8	1982	2.174480032	0.214797139	21	no	yes	7.742841797	7.699999809	15082.33887
8	1983	2.051439951	0.206422031	21	no	yes	7.656062988	6.599999905	15131.88086
8	1984	1.905959944	0.197802201	21	no	yes	7.707852539	5.599999905	15486.81348
8	1985	1.792010007	0.190677971	21	no	yes	8.092209473	5.900000095	15569.91504
8	1986	1.846300001	0.185758516	21	no	yes	8.131374512	7.400000095	15616.09863
8	1987	1.79308001	0.180000007	21	no	yes	8.182027832	7.699999809	15605
8	1988	1.505599939	0.173243508	21	no	yes	8.380768555	6.400000095	15845.04297
9	1982	1.646949968	0.224343672	18.5	no	no	6.440053711	6.900000095	17255.36914
9	1983	1.394900028	0.23356308	19.25	no	no	6.570042969	6	17744.26563
9	1984	1.486529945	0.248010993	20	no	no	6.680192871	4.599999905	18760.43945
9	1985	1.411470002	0.239078403	20.32999992	yes	yes	6.979214844	4.900000095	19312.5
9	1986	1.409329998	0.232910231	21	yes	yes	7.661744629	3.799999952	20152.73438
9	1987	1.398320019	0.225690007	21	yes	yes	8.33853418	3.299999952	21192
9	1988	1.497060002	0.217218488	21	yes	yes	8.061235352	3	22193.45508
10	1982	2.033329947	0.173031017	20	no	no	7.651653809	8.5	14263.72363
10	1983	1.815180003	0.166284397	20	no	no	8.062699707	8.100000381	14500
10	1984	2.11726001	0.15934065	21	no	no	8.3680625	6.199999809	14925.27441
10	1985	1.672030048	0.153601691	21	no	no	8.625424805	5.300000191	15408.89844
10	1986	2.148500062	0.149638802	21	no	no	9.045817383	4.300000191	15822.49707
10	1987	2.267079981	0.144999996	21	no	no	9.450307617	3.200000048	16407
10	1988	2.424239938	0.139557257	21	no	no	9.703020508	3.200000048	16998.07422
12	1982	2.531970094	1.073985696	19	no	yes	7.587129883	8.199999809	13502.38672
12	1983	2.497679961	1.170412779	19	no	yes	7.604254395	8.600000381	13924.31152
12	1984	2.546609903	1.186813235	19	no	yes	7.735304688	6.300000191	14307.69238
12	1985	2.491640043	1.144067883	20	no	yes	7.747311035	6	14760.59277
12	1986	2.420039964	1.114551187	21	no	yes	7.768755859	5.699999809	15102.16699
12	1987	2.361310035	1.080000043	21	no	yes	7.788330566	5.300000191	15584
12	1988	2.495340013	1.039461017	21	no	yes	8.538230469	5	15979.78809
13	1982	2.174840047	2.720763683	19	no	no	8.623444336	7.800000191	11774.46289
13	1983	2.260600013	2.61467886	19	no	no	8.518589844	7.5	12237.38574
13	1984	2.413559996	2.505494356	19	no	no	8.641914063	6	12957.14258
13	1985	2.277440071	2.415254116	19.25	no	no	8.988107422	6.5	13364.40723
13	1986	2.508200123	2.352941036	20.25	no	no	9.344767578	5.900000095	13891.64063
13	1987	2.569910139	2.279999971	21	no	no	9.69028125	5.5	14306
13	1988	2.606429916	2.194417715	21	no	no	9.817395508	5.800000191	14687.19922
16	1982	2.617590071	0.402744651	19	no	no	8.033751953	9.800000191	11078.75879
16	1983	2.661939943	0.387041301	19	no	no	8.387641602	9.800000191	11346.33008
16	1984	2.42241993	0.370879114	19	no	no	7.775768066	7.199999809	11386.81348
16	1985	2.537310065	0.357521206	19	no	no	7.671631836	7.900000095	11459.74609
16	1986	2.574849932	0.348297209	19	no	no	7.899200684	8.699999809	11541.7959
16	1987	2.625249908	0.337500006	20.5	no	no	8.135268555	8	11859
16	1988	2.562309965	0.324831575	21	no	no	8.102682129	5.800000191	12189.60547
17	1982	1.438400068	0.188544154	21	no	no	5.696534668	11.30000019	14743.43652
17	1983	1.328000071	0.181192666	21	no	no	5.862868164	11.39999962	14745.41309
17	1984	1.342650066	0.173626378	21	no	no	6.06752832	9.100000381	15390.11035
17	1985	1.329869992	0.167372882	21	no	no	6.14167627	9	15602.75391
17	1986	1.381699985	0.163054705	21	no	no	6.345777344	8.100000381	15988.64844
17	1987	1.43326004	0.158000007	21	no	no	6.540846191	7.400000095	16417
17	1988	1.581709948	0.1520693	21	no	no	6.757612793	6.800000191	16915.30273
18	1982	1.752690005	0.309132457	21	no	no	7.14991748	11.89999962	12282.81641
18	1983	1.85604993	0.297079116	21	no	no	7.277506348	11.10000038	12364.67871
18	1984	1.684269955	0.284673631	21	no	no	7.478887207	8.600000381	13008.79102
18	1985	1.771230018	0.27442053	21	no	no	7.41625293	7.900000095	13161.0166
18	1986	1.886240061	0.267340541	21	no	no	7.714322266	6.699999809	13582.04297
18	1987	1.907429978	0.259052992	21	no	no	7.97721582	6.400000095	13937
18	1988	1.981639944	0.24932915	21	no	no	9.201576172	5.300000191	14363.81152
19	1982	1.651189959	0.375894994	19	no	no	6.653263184	8.5	12968.97363
19	1983	1.769969967	0.361238539	19	no	no	6.770307617	8.100000381	12573.39453
19	1984	1.446779934	0.346153855	19	no	no	7.060630371	7	13203.29688
19	1985	1.643550058	0.333686441	19	no	no	7.001037598	8	13351.69531
19	1986	1.547370048	0.383126944	20	no	no	7.192990234	7	13812.17773
19	1987	1.732530072	0.42750001	21	no	no	7.342257324	5.5	14284
19	1988	1.965419942	0.484926879	21	no	no	7.730063477	4.5	14111.64551
20	1982	2.068110043	0.484009564	21	yes	yes	7.333069336	6.300000191	14094.27246
20	1983	1.693450031	0.465137631	21	yes	yes	7.47961084	6.099999905	13917.43164
20	1984	2.090159978	0.445714295	21	yes	yes	7.670887695	5.199999809	14308.79102
20	1985	1.983669936	0.429661036	21	yes	yes	7.867333496	5	14631.35547
20	1986	2.033350029	0.418575853	21	yes	yes	8.100053223	5.400000095	14977.2959
20	1987	1.983039983	0.405600011	21	yes	yes	8.304130859	4.900000095	15152
20	1988	1.93586995	0.390375376	21	yes	yes	8.481355469	4.800000191	15167.46875
21	1982	2.225229982	0.215990454	21	no	no	6.93746582	10.60000038	11071.59863
21	1983	2.094780066	0.207568794	21	no	no	7.194142578	11.69999981	10913.99121
21	1984	2.026879956	0.198901087	21	no	no	7.513703125	9.300000191	11441.75781
21	1985	1.910900028	0.191737279	21	no	no	7.654335449	9.5	11405.7207
21	1986	2.160489967	0.186790496	21	no	no	7.859620605	9.300000191	11602.68359
21	1987	2.264560026	0.180999994	21	no	no	8.135244141	8.800000191	12008
21	1988	2.248459932	0.174205959	21	no	no	8.482435547	7.900000095	12340.71191
22	1982	2.489160106	0.866348445	18	yes	yes	6.137798828	10.30000019	12213.60352
22	1983	2.100879938	0.832568824	18	yes	yes	6.208741699	11.80000019	11994.26563
