schidkn,sex,frl,reg_size,reg_size_aid,small_size,white,black,other,totexp,tmathss,treadss
63,girl,no,0,0,1,1,0,0,7,473,447
20,girl,no,0,0,1,0,1,0,21,536,450
19,boy,yes,0,1,0,0,1,0,0,463,439
69,boy,no,1,0,0,1,0,0,16,559,448
79,boy,yes,0,0,1,1,0,0,5,489,447
5,boy,yes,1,0,0,1,0,0,8,454,431
16,girl,yes,0,1,0,0,1,0,17,423,395
56,girl,no,1,0,0,1,0,0,3,500,451
11,girl,no,0,0,1,0,1,0,11,439,478
66,girl,no,0,0,1,1,0,0,10,528,455
38,boy,no,1,0,0,1,0,0,13,473,430
69,boy,no,0,1,0,1,0,0,6,468,437
43,boy,no,0,0,1,1,0,0,0,559,474
71,boy,no,0,0,1,1,0,0,6,494,424
52,boy,no,0,1,0,1,0,0,18,528,490
54,boy,no,1,0,0,1,0,0,13,484,439
12,girl,yes,0,1,0,1,0,0,12,459,424
21,girl,yes,1,0,0,0,1,0,1,528,437
76,girl,no,0,0,1,1,0,0,8,478,422
79,boy,yes,1,0,0,1,0,0,13,559,424
8,boy,no,1,0,0,1,0,0,13,454,431
66,boy,no,0,1,0,1,0,0,3,473,451
59,boy,yes,0,0,1,1,0,0,14,602,456
31,girl,yes,0,1,0,0,1,0,11,459,421
27,boy,yes,0,1,0,0,1,0,10,576,463
17,girl,no,0,1,0,0,1,0,8,520,425
9,girl,no,1,0,0,1,0,0,8,559,522
39,girl,no,0,1,0,1,0,0,5,459,413
55,boy,no,1,0,0,1,0,0,13,513,416
27,girl,yes,1,0,0,0,1,0,0,423,419
58,girl,no,0,1,0,1,0,0,3,494,431
49,boy,no,0,0,1,1,0,0,8,439,418
7,girl,yes,1,0,0,0,1,0,15,434,422
5,girl,yes,0,0,1,0,1,0,8,434,414
37,boy,yes,0,1,0,0,1,0,11,454,433
70,girl,no,1,0,0,1,0,0,10,484,450
40,girl,yes,0,0,1,1,0,0,4,559,458
9,girl,no,0,0,1,1,0,0,7,459,445
48,boy,no,0,0,1,1,0,0,17,506,439
10,boy,no,0,0,1,1,0,0,12,576,476
80,girl,no,1,0,0,1,0,0,4,484,467
28,girl,yes,0,1,0,0,1,0,10,434,416
43,boy,no,0,0,1,1,0,0,0,528,480
41,girl,no,0,1,0,1,0,0,16,478,437
41,boy,no,0,0,1,1,0,0,18,602,465
40,girl,yes,0,0,1,1,0,0,4,439,407
27,girl,no,1,0,0,0,1,0,12,547,487
61,boy,no,0,1,0,1,0,0,8,489,425
21,girl,no,0,0,1,1,0,0,14,500,447
8,girl,no,0,0,1,1,0,0,13,468,430
21,girl,no,0,0,1,1,0,0,14,547,480
47,girl,no,1,0,0,1,0,0,5,513,440
11,boy,no,0,1,0,0,1,0,13,405,410
35,girl,no,0,0,1,1,0,0,5,506,413
21,girl,yes,1,0,0,0,1,0,1,513,422
24,girl,no,0,0,1,0,1,0,5,559,442
27,girl,yes,0,1,0,0,1,0,10,547,461
33,boy,yes,0,1,0,0,1,0,22,454,421
19,girl,yes,0,0,1,0,1,0,2,494,410
30,girl,no,0,0,1,0,1,0,2,626,465
49,boy,no,1,0,0,1,0,0,11,500,436
39,boy,yes,0,1,0,1,0,0,5,449,398
61,girl,no,0,1,0,1,0,0,8,528,442
9,boy,no,0,1,0,1,0,0,11,500,461
50,boy,yes,1,0,0,1,0,0,13,506,436
17,boy,no,0,0,1,1,0,0,5,473,428
31,boy,yes,1,0,0,0,1,0,0,444,411
39,boy,no,0,1,0,1,0,0,5,459,436
46,girl,no,0,0,1,1,0,0,4,463,436
12,boy,no,0,1,0,1,0,0,12,559,428
1,boy,no,1,0,0,1,0,0,5,536,472
45,boy,yes,0,1,0,0,1,0,11,473,434
78,boy,no,0,0,1,1,0,0,8,500,443
39,boy,yes,0,0,1,1,0,0,2,520,424
33,boy,yes,0,1,0,0,1,0,22,473,418
22,boy,yes,1,0,0,0,1,0,11,500,428
32,boy,yes,0,0,1,0,1,0,14,468,440
4,boy,no,0,1,0,1,0,0,7,513,436
14,boy,no,0,0,1,0,1,0,13,506,433
17,boy,no,0,1,0,1,0,0,8,473,448
44,boy,yes,0,0,1,0,1,0,3,506,474
7,boy,yes,1,0,0,0,1,0,15,484,414
71,girl,no,0,0,1,1,0,0,20,468,411
23,girl,no,0,0,1,0,1,0,11,468,422
71,girl,no,0,0,1,1,0,0,20,412,395
24,girl,yes,1,0,0,0,1,0,6,459,407
64,girl,no,1,0,0,1,0,0,11,506,472
2,girl,yes,0,0,1,1,0,0,12,463,402
71,girl,no,1,0,0,1,0,0,6,500,428
8,boy,no,1,0,0,1,0,0,12,463,413
25,boy,yes,1,0,0,1,0,0,18,468,443
9,boy,yes,0,1,0,1,0,0,14,434,418
73,boy,yes,0,0,1,1,0,0,2,418,403
61,girl,yes,0,0,1,1,0,0,11,484,442
16,girl,yes,0,0,1,0,1,0,1,528,443
2,boy,no,0,1,0,0,1,0,17,494,410
19,girl,yes,0,1,0,0,1,0,0,439,403
48,boy,yes,0,0,1,1,0,0,17,489,433
67,boy,no,1,0,0,1,0,0,0,528,422
70,boy,no,0,1,0,1,0,0,27,536,434
24,girl,yes,0,0,1,0,1,0,13,468,433
48,girl,no,0,0,1,1,0,0,17,559,440
64,boy,no,1,0,0,1,0,0,20,559,461
43,girl,no,0,1,0,1,0,0,17,459,413
13,boy,yes,0,0,1,1,0,0,4,559,445
42,boy,no,0,1,0,1,0,0,3,536,507
66,girl,no,0,0,1,1,0,0,15,576,490
13,girl,no,1,0,0,1,0,0,6,536,451
1,girl,no,1,0,0,1,0,0,10,536,474
33,boy,yes,0,1,0,0,1,0,22,429,414
7,boy,no,0,0,1,1,0,0,4,423,400
69,girl,no,1,0,0,1,0,0,16,489,468
5,boy,no,1,0,0,1,0,0,8,399,386
19,boy,yes,1,0,0,0,1,0,6,478,424
57,girl,yes,0,1,0,1,0,0,8,473,430
7,girl,yes,1,0,0,1,0,0,15,520,453
30,boy,no,1,0,0,0,1,0,10,528,456
65,boy,no,0,0,1,1,0,0,15,576,451
57,girl,no,0,0,1,1,0,0,8,484,440
3,girl,yes,0,0,1,1,0,0,10,459,445
36,girl,no,0,1,0,1,0,0,14,468,445
3,girl,yes,0,1,0,1,0,0,9,468,402
79,girl,no,0,1,0,1,0,0,12,484,414
43,girl,no,1,0,0,1,0,0,3,478,421
19,girl,yes,0,0,1,0,1,0,6,449,408
19,girl,yes,0,1,0,0,1,0,1,454,393
19,boy,yes,0,0,1,0,1,0,6,429,398
60,girl,no,0,0,1,1,0,0,1,513,450
59,girl,no,0,1,0,1,0,0,8,468,445
51,boy,yes,1,0,0,1,0,0,13,500,424
68,girl,no,0,1,0,1,0,0,10,500,467
8,boy,no,0,0,1,1,0,0,13,459,400
12,girl,yes,0,0,1,1,0,0,9,513,434
39,girl,yes,0,1,0,1,0,0,5,418,390
76,girl,no,0,1,0,1,0,0,13,473,416
3,girl,yes,1,0,0,1,0,0,8,449,425
27,girl,yes,1,0,0,0,1,0,6,463,470
